---------- 1703936456396 ----------
ask: 2288.390 56429.409010
ask: 2288.400 38417.659200
ask: 2288.410 12526.756340
ask: 2288.420 49693.040300
ask: 2288.430 26532.057420
ask: 2288.440 54439.699160
ask: 2288.450 3462.424850
ask: 2288.460 72397.720560
ask: 2288.470 186366.131390
ask: 2288.480 72583.720160
ask: 2288.490 43218.133650
ask: 2288.500 5597.671000
ask: 2288.510 478.298590
ask: 2288.520 2444.139360
ask: 2288.530 2332.012070
ask: 2288.540 11213.846000
ask: 2288.550 35172.724950
ask: 2288.560 11477.128400
ask: 2288.580 1663.797660
ask: 2288.590 43931.773640
ask: 2288.600 10131.632200
ask: 2288.610 1373.166000
ask: 2288.620 5517.862820
ask: 2288.630 11694.899300
ask: 2288.680 7099.485360
ask: 2288.740 478.346660
bid: 2287.420 333096.387820
bid: 2287.410 1866.526560
bid: 2287.400 50599.575400
bid: 2287.390 24118.240160
bid: 2287.380 1608.028140
bid: 2287.310 4897.130710
bid: 2287.300 12502.381800
bid: 2287.290 5006.877810
bid: 2287.280 1493.593840
bid: 2287.270 1806.943300
bid: 2287.250 576.387000
bid: 2287.240 436.862840
bid: 2287.230 729.626370
bid: 2287.220 20.584980
bid: 2287.210 2291.784420
bid: 2287.200 4597.272000
bid: 2287.190 349.940070
bid: 2287.180 15486.495780
bid: 2287.170 27292.799610
bid: 2287.160 2694.274480
bid: 2287.140 1916.623320
bid: 2287.130 39629.101510
bid: 2287.120 37499.619520
bid: 2287.110 68192.471760
bid: 2287.100 40637.192800
bid: 2287.080 39122.790480
bid: 2287.060 9516.456660
bid: 2287.050 12132.800250
bid: 2287.040 9285.382400
bid: 2287.030 8148.687890
bid: 2287.020 2287.020000
bid: 2287.010 12194.337320
bid: 2287.000 8246.922000
bid: 2286.990 13621.312440
bid: 2286.980 5728.884900
bid: 2286.970 47388.305370
bid: 2286.960 22245.259920
bid: 2286.950 5314.871800
bid: 2286.940 1116.026720
bid: 2286.930 7425.661710
bid: 2286.920 13906.760520
bid: 2286.910 10592.967120
bid: 2286.900 983.367000
bid: 2286.890 14368.529870
bid: 2286.880 41488.576960
bid: 2286.870 48632.577420
bid: 2286.860 2421.784740
bid: 2286.850 13885.753200
bid: 2286.840 8246.345040
bid: 2286.830 34462.528100
bid: 2286.820 24743.392400
bid: 2286.810 73918.846440
bid: 2286.800 2789.896000
bid: 2286.790 58217.099820
bid: 2286.780 4912.003440
bid: 2286.770 8877.241140
bid: 2286.760 11065.631640
bid: 2286.750 44916.343500
bid: 2286.730 4834.147220
bid: 2286.720 70090.254720
bid: 2286.710 27593.729570
bid: 2286.700 44771.299300
bid: 2286.690 3329.420640
bid: 2286.680 32242.188000
bid: 2286.670 43990.957460
bid: 2286.660 70143.295500
bid: 2286.650 42799.228050
bid: 2286.640 2533.597120
bid: 2286.630 3827.818620
bid: 2286.620 22299.118240
bid: 2286.610 21420.962480
bid: 2286.600 9887.258400
bid: 2286.590 2318.602260
bid: 2286.580 2686.731500
bid: 2286.570 78776.909640
bid: 2286.560 60664.723360
bid: 2286.550 5748.386700
bid: 2286.540 82491.503580
bid: 2286.530 187.495460
bid: 2286.520 473.309640
bid: 2286.510 4840.541670
bid: 2286.500 1086.087500
bid: 2286.490 39997.569570
bid: 2286.480 6582.775920
bid: 2286.470 34203.304730
bid: 2286.460 100441.901340
bid: 2286.450 117242.296650
bid: 2286.440 43872.210720
bid: 2286.430 77372.791200
bid: 2286.410 59915.374050
bid: 2286.400 16359.192000
bid: 2286.390 34757.700780
bid: 2286.380 1643.907220
bid: 2286.370 2338.956510
bid: 2286.360 1909.110600
bid: 2286.350 19562.010600
bid: 2286.340 1888.516840
bid: 2286.300 165585.277500
bid: 2286.290 5299.620220
bid: 2286.210 36122.118000

